Food,Clothing,Shelter,Fuel and Light,Tools,Education,Safety,Medical care,Services,Total
576.28,129.34,78.32,46.8,0,0,0,5.2,0,835.94
631.8,83,79.8,73.84,0,5,0,0,0,873.44
608.64,134,108,78,0,5,0,17.8,0,951.44
301,40,76,46,0,0,2,8,0,473
378,65,84,50,0,0,6,18,0,601
397,83,137,55,0,0,12,27,3,714
588.52,160.98,50,27.8,0,0,2,0,0,829.3
681.76,189.64,10,50.4,20,0,8,0,0,959.8
807.36,241.6,37,52,27,0,18,30,0,1212.96
696.8,112.84,41.6,64.48,0,0,1.56,0,41.6,958.88
811.2,117,86.84,65.52,0,41.6,4.16,3.12,0,1129.44
1305.72,247,114,65.52,46.8,30,18,114,2,1943.04
442,6.24,61,30.4,0,0,0,0,0,539.64
353.6,6.24,52,36.4,9.36,0,0,6,0,463.6
468,58.24,0,36.4,0,0,0,0,0,562.64
526.76,120,26,48,0,0,4,12,0,736.76
890.24,270,66,62.2,44,0,25,56,2,1415.44
1318.8,520,115,68,77,0,40,66,4,2208.8
331,190,70,35,0,0,0,10,0,636
416.4,192,105,36,0,0,0,10,0,759.4
596.84,233,128,36,24,0,0,61,0,1078.84
408.5,16,70,5.25,0,0,0,0,0,499.75
775.02,100,100,45,0,0,0,0,0,1020.02
1138.16,100,230,127,0,0,0,0,0,1595.16
485.52,95.08,131,50,0,0,4,9,2,776.6
772.76,170.16,140,75,0,12,7,48,6,1230.92
993.96,230.16,215,120,57.84,40,30,115,6,1807.96
305.44,30,45,30,0,0,0,5,0,415.44
306.52,38,61,35,0,0,0,0,0,440.52
299.2,55,47,50,0,0,5,85,0,541.2
468,27.04,31.2,42.64,11.44,1.04,0,0,0,581.36
522.6,60.84,59.8,52.52,21.84,1.04,0,24.44,0,743.08
750.32,110.8,90.48,66.56,19.24,4.68,6.24,8.32,1.04,1057.68
255.84,72.8,53.56,33.8,0,4.16,0,0,0,420.16
310.96,108.16,73.84,39.09,0,9.36,0,0,0,541.41
485.68,175.76,88.4,44.2,56.68,11.96,17.16,17.68,3.64,901.16
403,71.76,78.52,76.44,0,9.36,0,0,0,639.08
495.56,88.4,78.52,83.2,0,5.2,0,0,0,750.88
633.8,90.48,36.4,98.8,34.32,26,10.4,15.6,0,945.8
630.76,57.2,75.4,59.8,0,6.24,0,0,0,829.4
700.44,80.08,98.8,80.08,6.24,7.28,0,6.24,0,979.16
830.96,151.84,148.2,139.36,21.84,0,0,17.68,0,1309.88
815.36,244.4,275.6,81.12,52.52,0,5.2,13,5.2,1492.4
338,46.28,57.2,41.6,0,10.4,0,9.36,0,502.84
412.36,63.96,69.16,44.2,2.08,10.4,0,14.56,0,616.72
520,73.84,102.44,52,15.6,10.4,0,16.12,0.52,790.92
452.4,29.64,28.08,43.16,0,2.08,0,0.52,0,555.88
512.72,61.36,45.76,40.04,1.56,11.96,0.52,39.52,0,713.44
658.84,66.56,59.8,40.56,3.64,2.6,0,6.76,0,838.76
392.6,46.28,33.8,50.44,0.52,3.64,1.04,6.24,0.52,535.08
443.56,60.32,20.28,49.92,3.12,2.6,2.6,14.04,0,596.44
640.12,109.2,33.28,70.72,22.88,4.16,7.8,36.4,0,924.56
333.84,56.68,57.72,32.24,1.04,1.56,1.56,3.12,0,487.76
466.96,78.52,78,44.72,7.8,2.08,5.72,8.84,0,692.64
543.4,137.8,138.32,65,37.96,7.28,20.8,44.2,3.12,997.88
317.72,55.12,60.84,27.04,1.04,9.36,0,34.84,1.04,507
424.32,67.08,73.32,42.12,4.16,7.8,0,35.36,0,654.16
518.96,117.52,111.8,46.28,44.2,11.96,11.96,70.2,1.04,933.92
338,32.24,30.68,29.64,0,2.6,0,0.52,0,433.68
419.64,49.92,60.32,39,2.6,5.2,0,10.4,0.52,587.6
476.32,82.68,191.88,60.32,14.04,11.96,23.92,32.24,3.12,896.48
386.36,23.92,23.4,18.72,1.04,0,0,1.04,0,454.48
423.28,65,38.48,30.16,4.68,3.12,0.52,19.76,0,585
503.36,112.32,14.04,65,3.12,1.56,0.52,100.88,0,800.8
354.64,53.8,50,38,0,0,0,6,0,502.44
497.32,85,70,44.2,2,0,0,15,0,713.52
588.52,90,101.98,83,6,10,0,26,0.5,906
418.6,5,20,43.2,25,0,0,0,0,511.8
508.8,57,70,43.2,3.6,2,0,5.2,0,689.8
883.28,264.56,163,102.2,53.86,16,13.11,36.3,0,1532.31
742.53,103.25,107.15,71.55,21.6,10,0,0,0,1056.08
242.32,35,65,45,0,0,0,0,0,387.32
242.32,35,65,45,0,0,0,0,0,387.32
266,35,65,45,0,0,0,0,0,411
614.76,45,79,50,18,4,10,10,2,832.76
385.32,33.39,66.09,31.2,0,24,0,75,0,615
515.62,130,109.2,121.25,0,0,0,11.4,0,887.47
708.48,107,112,43,17.5,4,11.34,21,0.5,1024.82
734.24,176.2,8,88,0,0,0,0,0,1006.44
433,130,63,33,54,10,0,3,0,726
327.42,87.8,41.4,37.8,0,0,0,0,0,494.42
429.04,135.6,87,55,29,0,0,13,0,748.64
619.64,145.6,106,62.4,29,0,0,25,0,987.64
400.8,190.4,81.8,39.1,60,0,0,15,1,788.1
620.8,68,75,65,0,1,0,2,0,831.8
820,96,98,104,0,10,0,11.5,0,1139.5
360.88,67.6,34.32,29.12,5.2,5.2,0,0,5.2,507.52
395.76,78,42.12,34.32,5.2,7.8,0,5.2,7.8,576.2
442,93.4,55.12,38.48,7.8,7.8,0,44.2,7.8,696.6
404.04,98.84,51.44,37,0,7,0,52.5,0,650.82
670.8,90,91.78,67,5,0,0,25,0,949.58
297.57,69.34,83.79,27.72,8.75,0,0,9.95,0,497.12
353.49,80.78,88.88,27.72,9.25,0,0,10.05,0,570.17
383.94,96.64,127.22,83.33,14.7,0,0,18.9,0,724.73
284.8,65.64,32.07,20.33,0,2,0,2,1.5,408.34
431.1,85.64,59.14,43.79,5,4,0,8,2,638.67
801.35,177.86,118,50.52,29,15,12,18,4,1225.73
448.45,92.25,93.49,40.8,16.88,7,1.5,15,0,715.37
577.91,80.16,16.6,34.6,0,8.5,0,82.7,0,800.47
570.52,94.68,29.6,47.3,7.5,8.5,2.8,208.7,6,975.6
865.32,146.64,151,85.8,37,9,11,300,8,1613.76
444.56,53.12,53.62,46,0,5,2,3.6,0.6,608.5
680.42,72.92,26,76.6,25.32,10,49.8,15.6,2,958.66
654.6,57,78,33,0,0,0,58,0,880.6
550.73,67,114,33.6,0,0,0,30,1,796.33
528.38,87,110,35,20,0,0,74,0,854.38
640.48,149.9,133,90.8,34,0,33.19,84,2,1167.37
401.32,52.48,4,27,4,3,2,30,0,523.8
436,52,88.4,41.6,2.08,0,3.9,36.4,10.4,670.78
276.56,39.32,35.4,23.6,0,0,0,2.18,0,377.06
588.35,66.84,17.25,43.4,8.8,73.6,9.5,43.8,0,851.54
664.2,89.8,79.6,66.9,7.5,5.6,22,185.5,0,1121.1
444.86,54.16,30,47,6,0,4.5,39,0,625.52
462.9,63,35,56.64,0,0,3,185,0,805.54
377.78,70,62,40.8,5,0,3,0,0,558.58
553.15,132.5,113.95,63.6,5.3,0,0,15.9,0,884.4
810.9,177.55,156.88,84.8,8.82,0,0,18.55,0,1257.5
1067.95,397.5,360.42,79.5,45.05,0,39.75,55.65,5.3,2051.12
1049.88,176,100,35.76,15,20,8.5,40.4,20.8,1466.34
522.7,81,81.8,30,0,0,0,14.6,0,730.1
572.08,115.6,73.1,24,0,0,0,16.02,0,800.8
907.4,126.4,116.2,50,0,0,8.8,36.9,0,1245.7
811.58,205.2,65.8,25.5,25,0,8.52,59.4,0,1201
427.8,55.6,72,30,3,0,0,46,0,634.4
650,88.4,122,56,3,0,13.75,23.08,0,956.23
860.6,146,82.5,20,5,5,0,29.5,0,1148.6
1143.42,236.24,102,45.76,16.9,42,7.5,143.4,31.6,1768.82
2032.68,342.16,106,80.6,42,42,7.5,117.6,52,2822.54
590.62,139.04,74,52,0,0,7.9,32.8,26,922.36
1570.4,364,145.6,78,20.8,0,0,114.4,0,2293.2
335,35.6,26,22.4,1,0,0,0,0,420
473.2,45.6,10,31.2,0,0,2,0,0,562
581.2,60.8,27,15.6,5,0,0,0,0,689.6
929.76,214.76,36.4,35.36,20,115.96,9.88,36.4,0,1398.52
591.2,142,47,25.62,10,5,0,0,0,820.82
637.55,142,55,25.62,10,5,0,0,0,875.17
674.95,190,40,40,27.5,15,10,395,0,1392.45
776.76,185,140.16,66,31,0,0,57,0.4,1256.32
959.52,195.67,130.45,46.96,22.43,0,0,7.83,0,1362.86
1250.97,304.36,223,153.93,20,0,0,42,5,1999.26
737.82,135.13,109,156.57,12,0,0,32.87,26.09,1209.48
810.68,166.68,104,43.68,0,0,0,0,0,1125.04
983,332.6,261,67.62,62.44,0,26.25,94.5,0,1827.41
708.9,166.06,96,43.2,0,0,0,0,0,1014.16
633.12,110.4,120,16.88,0,0,0,0,0,880.4
1424.8,184,220,78,39,364,18.6,0,104,2432.4
830.96,167.2,79.86,99.84,0,0,0,0,0,1177.86
925.58,184.22,75.67,37.13,0,0,0,0,0,1222.6
1162,187.2,68.6,70.2,2.4,0,0,29.18,0,1519.58
383.46,167.45,73,13,21,8,0.75,21,0,687.66
621.12,152.18,99.1,12.72,20,10,2.5,35.5,0,953.12
621.12,152.18,99.1,12.72,20,10,2.5,35.5,0,953.12
621.12,152.18,99.1,12.72,20,10,2.5,35.5,0,953.12
548.6,156.44,65,55,51.8,8,6,45.2,3,939.04
745.24,202.56,80,75,64.6,10,10,91,5,1283.4
837.8,233.72,115,90,102.36,15,15,95.6,7,1511.48
795.34,234.68,137.1,61.6,0,0,0,113.8,0,1342.52
483.48,56.25,53.84,22.9,6,5,0,0,0,627.47
600.48,138.5,101.2,38.8,6,5,0,0,0,889.98
696.2,240,157,58,6,5,0,0,0,1162.2
774.8,149.24,166,73.84,7.2,13,0,10,3,1197.08
390.6,38,75,16.5,7.2,0,0,3,0,530.3
612.56,247,107,40.6,10,82,0,40,3,1142.16
708.76,120.8,136,50.8,14.64,35,0,22,0,1088
296.92,52.48,53.86,41.6,0,33.8,0,6,0,484.66
1071.46,148.72,81.45,77.9,0,63,3.5,90,0,1536.03
496.6,47.8,66.4,41.6,0,0,1.5,25,0,678.9
503.4,58.5,52.13,17.9,14.19,3.95,0,21.81,0,671.88
357.64,174.74,83.44,27.9,17.95,13.19,5.5,8.01,2.1,690.47
430.34,189.64,93.82,27.9,27.59,13.19,5.5,70.62,2.1,860.7
624.7,114.55,38.25,62.98,0,0,0.33,31,1.5,873.31
582.54,165.98,35,85.44,11,0,2.5,10,2,894.46
580.22,289.15,136.19,91.5,6,25.6,12.79,7.2,0,1148.65
543.88,159,85,75,13,6,5,40,0,926.88
588.64,120.2,40.6,67.6,7.5,1.5,3,10,0,839.04
628,107,67.7,5,0,3.6,18.2,0,0,829.5
712.1,191.4,121,64,75.2,5.2,65,27.5,2.6,1264
968.4,301.6,147.6,86,289.38,12,80,48,5,1937.98
482.58,145,45,18.25,6,2,0,0,0,698.83
593.17,150,78,18.25,30,25,0,26,0,920.42
1033.57,350,120,120,139,20,50,45,20,1897.57
693.68,50,70,78,0,0,0,0,0,891.68
693.68,100,10,78,0,0,3,5,0,889.68
761.28,241.2,100,78,11,0,10,20,0,1221.48
361.4,87.8,46,10.4,0,3,0,36,0,544.6
628.45,256,73,30,0,3,0,41,0,1031.45
771.45,433,145,50,37.5,3,2,21,0,1462.95
757.12,31.2,18.2,20.8,0,3.12,0,0,0,830.44
821.6,59.8,23.4,49.4,9.92,3.12,2.6,5.2,0,975.04
1022.32,111.8,62.4,118.04,9.92,0,3.12,10.4,0,1338
679.44,76,64,39,9.2,0,0,0,0,867.64
538.75,85,45,35,0,10,2,10,0,725.75
680,120,70,50,22,20,3,23,1,989
977,170,125,80,80,30,15,45,3,1525
561.2,30,48,33,0,0,0,0,0,672.2
728.4,55,72,36,7,15,0,10,0,923.4
372.32,70,15,0,3,1,1,10,0,472.32
361.52,110,35,26.24,16,3,5,33,1,590.76
517.92,175,60,53,42,5,15,70,3,940.92
459.82,92.77,32.62,21.5,0,16.48,13.49,6.68,0,643.36
863.92,330.47,49.49,123.39,0,14.79,1145.04,24.57,0,2551.67
831.44,505.8,62.72,92.6,0,22.4,261.72,18.64,0,1795.32
534.76,261.42,112.88,43.48,0,13.74,135.59,28,0,1165.77
392.05,179.32,62.88,41.48,0,10.92,43.8,28,0,815.62
934.98,178.72,60,39.65,0,12,0,38.86,0,1264.21
813.31,159,71.6,36.5,0,7,3,5,0,1095.41
263.71,95.02,10.28,28.82,0,13.89,6.9,14.28,0,447.45
769.08,154.14,68.01,63.11,0,13.46,108.06,3.12,0,1178.98
630.59,193.59,51.28,30.97,0,8.45,2.5,58.52,0,975.8
645.99,111.76,158.05,62.67,14.3,5.66,0.75,18.67,0,1017.85
319.56,55.05,6.62,4.55,0,0,0.5,37.6,0,423.88
348.45,76.75,29.5,32.97,0,8.36,0,62.75,0,558.78
614.51,157.1,87.59,46.61,0,16.08,0,21.36,0,943.25
662.01,282.31,66.95,88.05,0,5.62,83.67,17.5,0,1348.8
1504.37,460.61,162.67,94.2,0,11.88,35.5,16,0,2340.63
406.22,91.81,51.06,24.09,0,9,0,5,0,587.18
692.17,340.74,303.5,95.86,0,0,15.9,13,0,1540.98
588.14,185,138.5,117.01,0,80,2.2,5,0,1115.85
511.26,128.48,49.96,61.31,0,12.9,23.45,5.48,0,1044.69
700.56,145.79,57.31,61.5,0,8.14,42.46,10.14,0,1389.79
1301.15,417.78,483,177.24,0,56,20.63,42,0,2497.8
879.07,287.08,184.25,83.65,0,27.5,10,61.83,0,1585.38
912.89,312.69,187.5,97.05,0,31.88,28.75,75,0,1862.05
1509.78,207.64,138.59,91.34,0,25.6,16.55,19.35,0,2008.85
484.06,108.92,41.28,39.3,0,5.5,2.25,16,0,697.31
399.67,98.66,38.19,17.98,0,9,5.25,2.5,0,571.25
444.1,80.4,31.25,28.1,0,9.5,0,5,0,598.35
248.81,45,55.25,10,0,5.5,0.5,0,0,461.1
527.8,137.9,54.4,34.45,0,17,16.5,6,0,977.11
500.63,219.66,48.3,28.7,0,16,8,15,0,883.99
436.81,148.16,68.44,38.7,0,2.25,6,18,0,718.36
374.8,56.1,59,29,0,8,0,17,0,543.9
726.39,173.18,60.4,93.04,150,36,28.7,10,0,1587.35
1827.2,477.05,138,0,180,0,229.3,30,0,4957.83
523.49,184.75,91,85.5,0,49.45,0,35.5,0,969.69
